Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","056","Belgium","5110","Area","6716","Planted Forest","2020","2020","1000 ha","438.2","A","Official figure",""
"RL","Land Use","056","Belgium","7210","Share in Forest land","6716","Planted Forest","2020","2020","%","63.57","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6670","Other land","2019","2019","1000 ha","1003.6774","I","Imputed value",""
"RL","Land Use","056","Belgium","5110","Area","6670","Other land","2020","2020","1000 ha","995.4907","I","Imputed value",""
"RL","Land Use","056","Belgium","5110","Area","6680","Inland waters","2019","2019","1000 ha","15.4","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6680","Inland waters","2020","2020","1000 ha","15.4","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","24","I","Imputed value",""
"RL","Land Use","056","Belgium","7252","Share in Cropland","6690","Land area equipped for irrigation","2019","2019","%","2.72","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","24","I","Imputed value",""
"RL","Land Use","056","Belgium","7252","Share in Cropland","6690","Land area equipped for irrigation","2020","2020","%","2.7","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6671","Agriculture area under organic agric.","2019","2019","1000 ha","93.1186","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2019","2019","%","6.87","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6671","Agriculture area under organic agric.","2020","2020","1000 ha","99.072","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2020","2020","%","7.26","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6672","Agriculture area certified organic","2019","2019","1000 ha","78.3231","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6672","Agriculture area certified organic","2020","2020","1000 ha","85.525","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6668","Cropland area under organic agric.","2019","2019","1000 ha","33.5769","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6668","Cropland area under organic agric.","2020","2020","1000 ha","37.428","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6669","Cropland area certified organic","2019","2019","1000 ha","27.0982","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6669","Cropland area certified organic","2020","2020","1000 ha","30.926","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2019","2019","1000 ha","58.1232","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2020","2020","1000 ha","61.644","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6682","Perm. meadows & pastures area certified organic","2019","2019","1000 ha","50.3373","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6682","Perm. meadows & pastures area certified organic","2020","2020","1000 ha","54.599","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6600","Country area","2019","2019","1000 ha","54908.7","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6600","Country area","2020","2020","1000 ha","54908.687","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6601","Land area","2019","2019","1000 ha","54755.7","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6601","Land area","2020","2020","1000 ha","54755.7","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6602","Agriculture","2019","2019","1000 ha","28518.8491","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6602","Agriculture","2020","2020","1000 ha","28524.113","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6610","Agricultural land","2019","2019","1000 ha","28518.8491","B","Time series break",""
"RL","Land Use","250","France","7209","Share in Land area","6610","Agricultural land","2019","2019","%","52.08","E","Estimated value",""
"RL","Land Use","250","France","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2019","2019","USD_PPP/ha","2022.63","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6610","Agricultural land","2020","2020","1000 ha","28524.113","A","Official figure",""
"RL","Land Use","250","France","7209","Share in Land area","6610","Agricultural land","2020","2020","%","52.09","E","Estimated value",""
"RL","Land Use","250","France","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2020","2020","USD_PPP/ha","1934.06","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6620","Cropland","2019","2019","1000 ha","18973.0991","I","Imputed value",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6620","Cropland","2019","2019","%","66.53","E","Estimated value",""
"RL","Land Use","250","France","7209","Share in Land area","6620","Cropland","2019","2019","%","34.65","E","Estimated value",""
"RL","Land Use","250","France","7277","Area per capita","6620","Cropland","2019","2019","ha/cap","0.2946","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6620","Cropland","2020","2020","1000 ha","19772.376","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6620","Cropland","2020","2020","%","69.32","A","Official figure",""
"RL","Land Use","250","France","7209","Share in Land area","6620","Cropland","2020","2020","%","36.11","E","Estimated value",""
"RL","Land Use","250","France","7277","Area per capita","6620","Cropland","2020","2020","ha/cap","0.3066","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6621","Arable land","2019","2019","1000 ha","17942.7855","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","62.92","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6621","Arable land","2020","2020","1000 ha","18735.529","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","65.68","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6630","Temporary crops","2019","2019","1000 ha","15221.4428","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6630","Temporary crops","2020","2020","1000 ha","15962.342","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6633","Temporary meadows and pastures","2019","2019","1000 ha","2305.4705","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","2330.436","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6640","Temporary fallow","2019","2019","1000 ha","415.8722","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","442.751","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6650","Permanent crops","2019","2019","1000 ha","1030.3136","B","Time series break",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","3.61","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1036.847","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","3.63","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","9545.75","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","33.47","E","Estimated value",""
"RL","Land Use","250","France","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","17.43","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","8751.737","B","Time series break",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2020","2020","%","30.68","E","Estimated value",""
"RL","Land Use","250","France","7209","Share in Land area","6655","Permanent meadows and pastures","2020","2020","%","15.98","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6646","Forest land","2019","2019","1000 ha","17169.6","A","Official figure",""
"RL","Land Use","250","France","72151","Carbon stock in living biomass","6646","Forest land","2019","2019","million t","1407.9072","A","Official figure",""
"RL","Land Use","250","France","7209","Share in Land area","6646","Forest land","2019","2019","%","31.36","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6646","Forest land","2020","2020","1000 ha","17253","A","Official figure",""
"RL","Land Use","250","France","72151","Carbon stock in living biomass","6646","Forest land","2020","2020","million t","1425.0978","A","Official figure",""
"RL","Land Use","250","France","7209","Share in Land area","6646","Forest land","2020","2020","%","31.51","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6717","Naturally regenerating forest","2019","2019","1000 ha","14770.6","I","Imputed value",""
"RL","Land Use","250","France","7210","Share in Forest land","6717","Naturally regenerating forest","2019","2019","%","86.03","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6717","Naturally regenerating forest","2020","2020","1000 ha","14819","A","Official figure",""
"RL","Land Use","250","France","7210","Share in Forest land","6717","Naturally regenerating forest","2020","2020","%","85.89","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6716","Planted Forest","2019","2019","1000 ha","2399","A","Official figure",""
"RL","Land Use","250","France","7210","Share in Forest land","6716","Planted Forest","2019","2019","%","13.97","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6716","Planted Forest","2020","2020","1000 ha","2434","A","Official figure",""
"RL","Land Use","250","France","7210","Share in Forest land","6716","Planted Forest","2020","2020","%","14.11","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6670","Other land","2019","2019","1000 ha","9067.2509","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6670","Other land","2020","2020","1000 ha","8978.587","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6680","Inland waters","2019","2019","1000 ha","153","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6680","Inland waters","2020","2020","1000 ha","153","I","Imputed value",""
"RL","Land Use","250","France","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","2822.7","I","Imputed value",""
"RL","Land Use","250","France","7252","Share in Cropland","6690","Land area equipped for irrigation","2019","2019","%","14.88","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","2867","A","Official figure",""
"RL","Land Use","250","France","7252","Share in Cropland","6690","Land area equipped for irrigation","2020","2020","%","14.5","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6694","Cropland area actually irrigated","2020","2020","1000 ha","1772","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6657","Perm. meadows & pastures area actually irrig.","2020","2020","1000 ha","54","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6671","Agriculture area under organic agric.","2019","2019","1000 ha","2241","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2019","2019","%","7.86","E","Estimated value",""
"RL","Land Use","250","France","5110","Area","6671","Agriculture area under organic agric.","2020","2020","1000 ha","2517","A","Official figure",""
"RL","Land Use","250","France","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2020","2020","%","8.82","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6672","Agriculture area certified organic","2019","2019","1000 ha","1675.771","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6672","Agriculture area certified organic","2020","2020","1000 ha","1934","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6668","Cropland area under organic agric.","2019","2019","1000 ha","1422.613","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6668","Cropland area under organic agric.","2020","2020","1000 ha","1638","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6669","Cropland area certified organic","2019","2019","1000 ha","1016.446","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6669","Cropland area certified organic","2020","2020","1000 ha","1191","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2019","2019","1000 ha","818.387","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2020","2020","1000 ha","879","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6682","Perm. meadows & pastures area certified organic","2019","2019","1000 ha","659.325","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6682","Perm. meadows & pastures area certified organic","2020","2020","1000 ha","743","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6664","Cropland area under conventional tillage","2020","2020","1000 ha","2087","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6665","Cropland area under conservation tillage","2020","2020","1000 ha","1765","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6666","Cropland area under zero or no tillage","2020","2020","1000 ha","271","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6600","Country area","2019","2019","1000 ha","35758","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6600","Country area","2020","2020","1000 ha","35759","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6601","Land area","2019","2019","1000 ha","34939","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6601","Land area","2020","2020","1000 ha","34939","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","2019","2019","1000 ha","18311","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","2020","2020","1000 ha","18314","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6610","Agricultural land","2019","2019","1000 ha","16666","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6610","Agricultural land","2019","2019","%","47.7","A","Official figure",""
"RL","Land Use","276","Germany","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2019","2019","USD_PPP/ha","3016.76","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6610","Agricultural land","2020","2020","1000 ha","16595","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6610","Agricultural land","2020","2020","%","47.5","A","Official figure",""
"RL","Land Use","276","Germany","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2020","2020","USD_PPP/ha","3062.85","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6620","Cropland","2019","2019","1000 ha","11913","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6620","Cropland","2019","2019","%","71.48","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6620","Cropland","2019","2019","%","34.1","A","Official figure",""
"RL","Land Use","276","Germany","7277","Area per capita","6620","Cropland","2019","2019","ha/cap","0.1433","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6620","Cropland","2020","2020","1000 ha","11862","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6620","Cropland","2020","2020","%","71.48","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6620","Cropland","2020","2020","%","33.95","A","Official figure",""
"RL","Land Use","276","Germany","7277","Area per capita","6620","Cropland","2020","2020","ha/cap","0.1424","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6621","Arable land","2019","2019","1000 ha","11714","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","70.29","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6621","Arable land","2020","2020","1000 ha","11664","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","70.29","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6630","Temporary crops","2019","2019","1000 ha","8387","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6630","Temporary crops","2020","2020","1000 ha","8213","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6633","Temporary meadows and pastures","2019","2019","1000 ha","2976","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","3093","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6640","Temporary fallow","2019","2019","1000 ha","350","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","358","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6650","Permanent crops","2019","2019","1000 ha","200","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","1.2","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6650","Permanent crops","2020","2020","1000 ha","198","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","1.19","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","4751","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","28.51","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","13.6","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4730","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2020","2020","%","28.5","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6655","Permanent meadows and pastures","2020","2020","%","13.54","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2019","2019","1000 ha","11419","A","Official figure",""
"RL","Land Use","276","Germany","72151","Carbon stock in living biomass","6646","Forest land","2019","2019","million t","1211.3275","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6646","Forest land","2019","2019","%","32.68","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2020","2020","1000 ha","11419","A","Official figure",""
"RL","Land Use","276","Germany","72151","Carbon stock in living biomass","6646","Forest land","2020","2020","million t","1221.9472","A","Official figure",""
"RL","Land Use","276","Germany","7209","Share in Land area","6646","Forest land","2020","2020","%","32.68","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6717","Naturally regenerating forest","2019","2019","1000 ha","5709.5","A","Official figure",""
"RL","Land Use","276","Germany","7210","Share in Forest land","6717","Naturally regenerating forest","2019","2019","%","50","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6717","Naturally regenerating forest","2020","2020","1000 ha","5709.5","A","Official figure",""
"RL","Land Use","276","Germany","7210","Share in Forest land","6717","Naturally regenerating forest","2020","2020","%","50","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2019","2019","1000 ha","5709.5","A","Official figure",""
"RL","Land Use","276","Germany","7210","Share in Forest land","6716","Planted Forest","2019","2019","%","50","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2020","2020","1000 ha","5709.5","A","Official figure",""
"RL","Land Use","276","Germany","7210","Share in Forest land","6716","Planted Forest","2020","2020","%","50","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6670","Other land","2019","2019","1000 ha","5209","I","Imputed value",""
"RL","Land Use","276","Germany","5110","Area","6670","Other land","2020","2020","1000 ha","5206","I","Imputed value",""
"RL","Land Use","276","Germany","5110","Area","6680","Inland waters","2019","2019","1000 ha","786","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6680","Inland waters","2020","2020","1000 ha","786","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6773","Coastal waters","2019","2019","1000 ha","34","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6773","Coastal waters","2020","2020","1000 ha","34","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","676.4","I","Imputed value",""
"RL","Land Use","276","Germany","7252","Share in Cropland","6690","Land area equipped for irrigation","2019","2019","%","5.68","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","676.4","I","Imputed value",""
"RL","Land Use","276","Germany","7252","Share in Cropland","6690","Land area equipped for irrigation","2020","2020","%","5.7","E","Estimated value",""
"RL","Land Use","276","Germany","5110","Area","6611","Agriculture area actually irrigated","2020","2020","1000 ha","506.5","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6611","Agriculture area actually irrigated","2020","2020","%","3.05","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6671","Agriculture area under organic agric.","2019","2019","1000 ha","1290.8","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2019","2019","%","7.75","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6671","Agriculture area under organic agric.","2020","2020","1000 ha","1592.7","A","Official figure",""
"RL","Land Use","276","Germany","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2020","2020","%","9.6","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6668","Cropland area under organic agric.","2019","2019","1000 ha","570.1","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6668","Cropland area under organic agric.","2020","2020","1000 ha","734","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2019","2019","1000 ha","698.8","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2020","2020","1000 ha","834.2","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6774","Cropland area under protective cover","2020","2020","1000 ha","5.6","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6762","Land used for aquaculture","2020","2020","1000 ha","0.0067","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6767","Inland waters used for aquac. or holding facilities","2020","2020","1000 ha","22.625","A","Official figure",""
"RL","Land Use","276","Germany","5110","Area","6641","Coastal waters used for aquac. or holding facilities","2020","2020","1000 ha","3.097","A","Official figure",""
